Date,Temp Max,Temp Min,HDD65,HDD45
1/1/1989,62,40,14,0
1/2/1989,60,38,16,0
1/3/1989,61,44,12.5,0
1/4/1989,49,35,23,3
1/5/1989,53,30,23.5,3.5
1/6/1989,73,42,7.5,0
1/7/1989,72,55,1.5,0
1/8/1989,65,46,9.5,0
1/9/1989,46,38,23,3
1/10/1989,44,41,22.5,2.5
1/11/1989,53,43,17,0
1/12/1989,58,45,13.5,0
1/13/1989,55,42,16.5,0
1/14/1989,49,36,22.5,2.5
1/15/1989,59,37,17,0
1/16/1989,53,34,21.5,1.5
1/17/1989,56,29,22.5,2.5
1/18/1989,62,32,18,0
1/19/1989,62,40,14,0
1/20/1989,53,37,20,0
1/21/1989,48,31,25.5,5.5
1/22/1989,55,31,22,2
1/23/1989,67,31,16,0
1/24/1989,70,43,8.5,0
1/25/1989,73,41,8,0
1/26/1989,72,44,7,0
1/27/1989,62,43,12.5,0
1/28/1989,65,37,14,0
1/29/1989,72,44,7,0
1/30/1989,66,47,8.5,0
1/31/1989,68,40,11,0
2/1/1989,72,49,4.5,0
2/2/1989,70,61,0,0
2/3/1989,75,49,3,0
2/4/1989,49,40,20.5,0.5
2/5/1989,51,41,19,0
2/6/1989,59,43,14,0
2/7/1989,45,32,26.5,6.5
2/8/1989,46,30,27,7
2/9/1989,36,24,35,15
2/10/1989,48,21,30.5,10.5
2/11/1989,57,28,22.5,2.5
2/12/1989,62,36,16,0
2/13/1989,73,48,4.5,0
2/14/1989,75,56,0,0
2/15/1989,80,58,0,0
2/16/1989,76,55,0,0
2/17/1989,60,34,18,0
2/18/1989,35,33,31,11
2/19/1989,45,33,26,6
2/20/1989,46,38,23,3
2/21/1989,65,44,10.5,0
2/22/1989,51,33,23,3
2/23/1989,33,21,38,18
2/24/1989,38,17,37.5,17.5
2/25/1989,51,25,27,7
2/26/1989,61,39,15,0
2/27/1989,65,48,8.5,0
2/28/1989,58,43,14.5,0
3/1/1989,51,43,18,0
3/2/1989,51,43,18,0
3/3/1989,50,44,18,0
3/4/1989,52,48,15,0
3/5/1989,65,50,7.5,0
3/6/1989,66,36,14,0
3/7/1989,44,36,25,5
3/8/1989,44,35,25.5,5.5
3/9/1989,63,34,16.5,0
3/10/1989,70,40,10,0
3/11/1989,75,43,6,0
3/12/1989,83,50,0,0
3/13/1989,72,52,3,0
3/14/1989,82,45,1.5,0
3/15/1989,77,64,0,0
3/16/1989,77,49,2,0
3/17/1989,77,55,0,0
3/18/1989,83,59,0,0
3/19/1989,74,40,8,0
3/20/1989,59,49,11,0
3/21/1989,66,44,10,0
3/22/1989,49,41,20,0
3/23/1989,41,39,25,5
3/24/1989,63,40,13.5,0
3/25/1989,74,41,7.5,0
3/26/1989,81,47,1,0
3/27/1989,81,53,0,0
3/28/1989,83,60,0,0
3/29/1989,84,62,0,0
3/30/1989,77,60,0,0
3/31/1989,64,44,11,0
4/1/1989,62,38,15,0
4/2/1989,72,42,8,0
4/3/1989,72,57,0.5,0
4/4/1989,76,56,0,0
4/5/1989,67,50,6.5,0
4/6/1989,62,41,13.5,0
4/7/1989,58,41,15.5,0
4/8/1989,61,46,11.5,0
4/9/1989,55,41,17,0
4/10/1989,50,42,19,0
4/11/1989,58,34,19,0
4/12/1989,63,40,13.5,0
4/13/1989,71,43,8,0
4/14/1989,73,48,4.5,0
4/15/1989,68,54,4,0
4/16/1989,75,48,3.5,0
4/17/1989,81,51,0,0
4/18/1989,84,56,0,0
4/19/1989,83,59,0,0
4/20/1989,64,56,5,0
4/21/1989,78,51,0.5,0
4/22/1989,84,54,0,0
4/23/1989,87,61,0,0
4/24/1989,87,63,0,0
4/25/1989,88,63,0,0
4/26/1989,88,61,0,0
4/27/1989,89,65,0,0
4/28/1989,87,67,0,0
4/29/1989,82,67,0,0
4/30/1989,82,67,0,0
5/1/1989,69,60,0.5,0
5/2/1989,73,55,1,0
5/3/1989,71,47,6,0
5/4/1989,73,57,0,0
5/5/1989,76,60,0,0
5/6/1989,73,52,2.5,0
5/7/1989,67,44,9.5,0
5/8/1989,75,46,4.5,0
5/9/1989,75,56,0,0
5/10/1989,66,51,6.5,0
5/11/1989,69,47,7,0
5/12/1989,71,46,6.5,0
5/13/1989,73,50,3.5,0
5/14/1989,81,58,0,0
5/15/1989,78,60,0,0
5/16/1989,77,52,0.5,0
5/17/1989,84,56,0,0
5/18/1989,83,64,0,0
5/19/1989,79,65,0,0
5/20/1989,81,63,0,0
5/21/1989,86,63,0,0
5/22/1989,88,65,0,0
5/23/1989,84,65,0,0
5/24/1989,86,58,0,0
5/25/1989,89,67,0,0
5/26/1989,91,73,0,0
5/27/1989,89,70,0,0
5/28/1989,85,60,0,0
5/29/1989,84,65,0,0
5/30/1989,86,64,0,0
5/31/1989,94,70,0,0
6/1/1989,94,72,0,0
6/2/1989,94,72,0,0
6/3/1989,88,69,0,0
6/4/1989,86,69,0,0
6/5/1989,87,66,0,0
6/6/1989,81,66,0,0
6/7/1989,84,63,0,0
6/8/1989,75,67,0,0
6/9/1989,79,67,0,0
6/10/1989,85,64,0,0
6/11/1989,87,65,0,0
6/12/1989,88,68,0,0
6/13/1989,88,71,0,0
6/14/1989,91,68,0,0
6/15/1989,76,69,0,0
6/16/1989,71,67,0,0
6/17/1989,83,66,0,0
6/18/1989,88,64,0,0
6/19/1989,80,69,0,0
6/20/1989,73,68,0,0
6/21/1989,83,68,0,0
6/22/1989,84,69,0,0
6/23/1989,86,65,0,0
6/24/1989,89,69,0,0
6/25/1989,91,73,0,0
6/26/1989,91,73,0,0
6/27/1989,92,73,0,0
6/28/1989,91,72,0,0
6/29/1989,87,71,0,0
6/30/1989,83,72,0,0
7/1/1989,84,71,0,0
7/2/1989,82,71,0,0
7/3/1989,81,70,0,0
7/4/1989,87,71,0,0
7/5/1989,82,71,0,0
7/6/1989,86,73,0,0
7/7/1989,89,74,0,0
7/8/1989,89,73,0,0
7/9/1989,93,71,0,0
7/10/1989,91,70,0,0
7/11/1989,89,71,0,0
7/12/1989,92,73,0,0
7/13/1989,89,70,0,0
7/14/1989,88,71,0,0
7/15/1989,86,73,0,0
7/16/1989,83,70,0,0
7/17/1989,86,68,0,0
7/18/1989,86,70,0,0
7/19/1989,87,71,0,0
7/20/1989,84,70,0,0
7/21/1989,86,70,0,0
7/22/1989,85,70,0,0
7/23/1989,86,70,0,0
7/24/1989,87,71,0,0
7/25/1989,94,73,0,0
7/26/1989,91,73,0,0
7/27/1989,94,71,0,0
7/28/1989,92,75,0,0
7/29/1989,95,74,0,0
7/30/1989,94,76,0,0
7/31/1989,89,75,0,0
8/1/1989,88,73,0,0
8/2/1989,86,73,0,0
8/3/1989,92,73,0,0
8/4/1989,93,72,0,0
8/5/1989,93,71,0,0
8/6/1989,94,74,0,0
8/7/1989,87,68,0,0
8/8/1989,75,63,0,0
8/9/1989,80,62,0,0
8/10/1989,81,63,0,0
8/11/1989,86,64,0,0
8/12/1989,84,64,0,0
8/13/1989,84,68,0,0
8/14/1989,88,71,0,0
8/15/1989,84,70,0,0
8/16/1989,87,69,0,0
8/17/1989,87,68,0,0
8/18/1989,87,69,0,0
8/19/1989,90,68,0,0
8/20/1989,90,71,0,0
8/21/1989,90,72,0,0
8/22/1989,92,74,0,0
8/23/1989,94,76,0,0
8/24/1989,94,75,0,0
8/25/1989,93,73,0,0
