,ddl,summerflag,winterflag,prem,year,pool,estimate,trued,bucketed,ddl_18,summerflag_18,winterflag_18,year_18,pool_18,factor_18,trued_18,bucketed_18,ddl_17,summerflag_17,winterflag_17,year_17,pool_17,factor_17,trued_17,bucketed_17,variation
86,26.215,0,0,131145,2019,MAC,1.2811,33.584036499999996,33.209,34.791,0.0,0.0,2018.0,MAC,1.2697,44.1741327,48.29,20.55,0.0,0.0,2017.0,MAC,1.3218,27.162990000000004,25.362,51.4076803333333
100,0.38799999999999996,0,0,153539,2019,ATL,1.221567,0.47396799599999995,0.461,12.932,1.0,0.0,2018.0,ATL,1.2182,15.7537624,16.24,1.965,0.0,0.0,2017.0,ATL,1.2617,2.4792405000000004,2.509,46.685659
190,10.433,0,0,266345,2019,MAC,1.2811,13.365716299999999,13.288,7.032,0.0,0.0,2018.0,MAC,1.2697,8.9285304,8.961,16.742,0.0,0.0,2017.0,MAC,1.3218,22.129575600000003,25.362,24.275730333333335
683,9.842,0,0,928123,2019,ATL,1.221567,12.022662414000001,13.288,,-1.0,0.0,2018.0,ATL,1.2182,,,1.408,0.0,0.0,2017.0,ATL,1.2617,1.7764735999999999,1.793,35.56617800000001
957,30.50800000000001,0,0,1256734,2019,ATL,1.221567,37.26756603600001,33.209,23.974,0.0,0.0,2018.0,ATL,1.2182,29.2051268,33.209,15.46,0.0,0.0,2017.0,ATL,1.2617,19.505882000000003,20.379,56.93727600000006
1073,25.415,0,0,1396408,2019,ATL,1.221567,31.046125305,33.209,6.12,0.0,0.0,2018.0,ATL,1.2182,7.455384,7.425,14.652,0.0,0.0,2017.0,ATL,1.2617,18.4864284,20.379,93.48903633333333
1198,34.693000000000005,0,0,1556748,2019,MAC,1.2811,44.445202300000005,48.29,45.424,0.0,0.0,2018.0,MAC,1.2697,57.674852800000004,48.29,31.173,0.0,0.0,2017.0,MAC,1.3218,41.2044714,48.29,55.10596033333333
1206,38.332,0,0,1565029,2019,ATL,1.221567,46.825106244000004,48.29,38.522,0.0,0.0,2018.0,ATL,1.2182,46.9275004,48.29,49.457,0.0,0.0,2017.0,ATL,1.2617,62.3998969,63.96,40.56265833333334
1390,2.739,0,0,1778365,2019,TRA,1.154433,3.161991987,3.316,14.425,0.0,0.0,2018.0,TRA,1.1404,16.450270000000003,16.24,15.597,0.0,0.0,2017.0,TRA,1.2324,19.221742799999998,20.379,50.54405733333334
1580,20.559,0,0,1873245,2019,ATL,1.221567,25.114195953000003,25.362,7.4860000000000015,0.0,0.0,2018.0,ATL,1.2182,9.119445200000001,9.479,3.388,0.0,0.0,2017.0,ATL,1.2617,4.2746396,4.349,80.42336233333333
1753,154.127,0,0,1958400,2019,ATL,1.221567,188.276457009,192.983,133.618,0.0,0.0,2018.0,ATL,1.2182,162.7734476,166.843,276.607,0.0,0.0,2017.0,ATL,1.2617,348.9950519,357.72,5977.970600333336
2855,16.415,0,0,2472404,2019,ATL,1.221567,20.052022305,20.379,11.666,0.0,0.0,2018.0,ATL,1.2182,14.2115212,16.24,26.09,0.0,0.0,2017.0,ATL,1.2617,32.917753,33.209,54.035067
2996,22.749000000000002,0,0,2540350,2019,SNG,1.0985,24.989776500000005,25.362,5.218,0.0,0.0,2018.0,SNG,1.0775,5.622394999999999,5.887,62.238,0.0,0.0,2017.0,SNG,1.1546,71.85999480000001,73.656,852.9995803333334
3365,33.323,0,0,2702217,2019,ATL,1.221567,40.706277141,48.29,38.206,0.0,0.0,2018.0,ATL,1.2182,46.5425492,48.29,27.959,0.0,0.0,2017.0,ATL,1.2617,35.2758703,33.209,26.269532333333352
3415,36.694,0,0,2720725,2019,VAL,1.202167,44.112315898000006,48.29,19.912,0.0,0.0,2018.0,VAL,1.2188,24.268745600000003,25.362,25.969,0.0,0.0,2017.0,VAL,1.1991,31.1394279,33.209,72.22473300000003
3428,11.969000000000001,0,0,2727334,2019,BRU,1.132533,13.555287477000002,13.288,4.698,0.0,0.0,2018.0,BRU,1.2119,5.693506200000001,5.887,17.945999999999994,0.0,0.0,2017.0,BRU,1.054,18.915083999999997,20.379,44.016912333333295
3585,22.138,0,0,2805235,2019,SNG,1.0985,24.318593000000003,25.362,30.894,0.0,0.0,2018.0,SNG,1.0775,33.288284999999995,33.209,21.12,0.0,0.0,2017.0,SNG,1.1546,24.385152,25.362,28.872489333333316
3657,23.291999999999998,0,0,2839640,2019,TRA,1.154433,26.889053435999998,25.362,26.092,0.0,0.0,2018.0,TRA,1.1404,29.7553168,33.209,15.73,0.0,0.0,2017.0,TRA,1.2324,19.385652,20.379,28.73248133333332
3707,7.4579999999999975,0,0,2861856,2019,ATL,1.221567,9.110446685999998,9.479,45.95399999999999,0.0,0.0,2018.0,ATL,1.2182,55.98116279999999,48.29,58.708,0.0,0.0,2017.0,ATL,1.2617,74.0718836,75.924,711.8615053333333
4073,14.624,0,0,3022753,2019,ATL,1.221567,17.864195808,16.24,,-1.0,0.0,2018.0,ATL,1.2182,,,1.5619999999999998,0.0,0.0,2017.0,ATL,1.2617,1.9707754,1.999,85.30792200000002
4116,21.324,0,0,3041334,2019,ATL,1.221567,26.048694708000003,25.362,17.95,0.0,0.0,2018.0,ATL,1.2182,21.86669,20.379,29.035,0.0,0.0,2017.0,ATL,1.2617,36.6334595,33.209,32.28677033333334
5608,14.285,0,0,3785198,2019,ATL,1.221567,17.450084595,16.24,4.9689999999999985,0.0,0.0,2018.0,ATL,1.2182,6.053235799999998,6.396,4.729,0.0,0.0,2017.0,ATL,1.2617,5.9665793,5.887,29.69376533333334
5859,,-1,0,3902254,2019,ROM,1.112033,,,69.352,0.0,0.0,2018.0,ROM,1.0876,75.4272352,77.313,24.516,0.0,0.0,2017.0,ROM,1.1691,28.6616556,33.209,1005.1334480000003
6679,173.388,0,0,4235307,2019,ATL,1.221567,211.805058996,217.1,135.404,0.0,0.0,2018.0,ATL,1.2182,164.94915279999998,169.073,183.618,0.0,0.0,2017.0,ATL,1.2617,231.6708306,237.463,645.3378253333333
7064,27.311999999999998,0,0,4398428,2019,SAV,1.2909329999999999,35.25796209599999,33.209,26.051,0.0,0.0,2018.0,SAV,1.2667,32.998801699999994,33.209,4.2410000000000005,0.0,0.0,2017.0,SAV,1.3493,5.7223813,5.887,168.2562103333333
